Algeria,ALGIERS
Angola,LUANDA
Benin,PORTO-NOVO
Botswana,GABORONE
Burkina Faso,OUAGADOUGOU
Burundi,BUJUMBURA
Cabo Verde,PRAIA
Cameroon,YAOUNDE
Central African Republic,BANGUI
Chad,N'DJAMENA
Comoros,MORONI
Democratic Republic of theCongo,KINSHASA
Republic of theÂ Congo,BRAZZAVILLE
Cote d'Ivoire,YAMOUSSOUKRO
Djibouti,DJIBOUTI
Egypt,CAIRO
Equatorial Guinea,OYALA
Eritrea,ASMARA
Ethiopia,ADDIS ABABA
Gabon,LIBREVILLE
Gambia,BANJUL
Ghana,ACCRA
Guinea,CONAKRY
Guinea-Bissau,BISSAU
Kenya,NAIROBI
Lesotho,MASERU
Liberia,MONROVIA
Libya,TRIPOLI
Madagascar,MADAGASCAR
Malawi,MALAWI
Mali,MALI
Mauritania,MAURITANIA
Mauritius,MAURITIUS
Morocco,MOROCCO
Mozambique,MOZAMBIQUE
Namibia,NAMIBIA
Niger,NIGER
Nigeria,NIGERIA
Rwanda,RWANDA
Sao Tome and Principe,SAO TOME AND PRINCIPE
Senegal,SENEGAL
Seychelles,SEYCHELLES
Sierra Leone,SIERRA LEONE
Somalia,SOMALIA
South Africa,SOUTH AFRICA
South Sudan,SOUTH SUDAN
Sudan,SUDAN
Swaziland,SWAZILAND
Tanzania,TANZANIA
Togo,TOGO
Tunisia,TUNISIA
Uganda,UGANDA
Zambia,ZAMBIA
Zimbabwe,ZIMBABWE
